申請ID,申請日,申請者社員ID,案件コード,変更種別,影響度,ステータス
B0001,2025-11-04,E102,P006,図面修正,高,承認待ち
B0002,2025-03-24,E102,P006,仕様変更,低,却下
B0003,2025-01-01,E102,P002,部品変更,低,申請中
B0004,2025-09-07,E108,P004,部品変更,中,承認済
B0005,2025-01-25,E103,P006,コスト変更,中,承認済
B0006,2025-03-07,E105,P001,仕様変更,中,申請中
B0007,2025-06-28,E105,P005,図面修正,高,却下
B0008,2025-09-04,E106,P001,図面修正,低,承認済
B0009,2025-10-07,E102,P001,部品変更,中,申請中
B0010,2025-04-28,E102,P004,図面修正,中,承認済
B0011,2025-03-12,E105,P002,図面修正,低,申請中
B0012,2025-10-21,E103,P005,部品変更,高,却下
B0013,2025-07-09,E108,P002,図面修正,高,承認待ち
B0014,2025-01-26,E105,P004,図面修正,高,承認待ち
B0015,2025-10-23,E105,P002,コスト変更,中,却下
B0016,2025-03-09,E103,P002,図面修正,低,却下
B0017,2025-10-13,E105,P002,部品変更,低,却下
B0018,2025-02-25,E102,P001,部品変更,低,承認待ち
B0019,2025-11-14,E108,P001,コスト変更,中,却下
B0020,2025-09-09,E108,P001,仕様変更,低,承認済
B0021,2025-11-11,E102,P003,コスト変更,高,却下
B0022,2025-01-24,E105,P005,部品変更,低,申請中
B0023,2025-11-10,E108,P005,部品変更,高,承認済
B0024,2025-03-18,E108,P001,図面修正,中,申請中
B0025,2025-02-12,E105,P002,仕様変更,高,申請中
B0026,2025-02-24,E106,P001,部品変更,高,却下
B0027,2025-09-06,E105,P005,コスト変更,高,承認待ち
B0028,2025-12-10,E106,P006,図面修正,中,却下
B0029,2025-02-08,E103,P001,図面修正,高,承認待ち
B0030,2025-10-08,E102,P001,仕様変更,高,申請中
B0031,2025-01-28,E105,P001,部品変更,中,却下
B0032,2025-04-18,E103,P006,コスト変更,高,却下
B0033,2025-07-07,E102,P001,コスト変更,中,却下
B0034,2025-07-15,E102,P006,仕様変更,高,却下
B0035,2025-12-11,E102,P002,部品変更,高,却下
B0036,2025-03-14,E103,P003,コスト変更,高,申請中
B0037,2025-08-26,E108,P001,仕様変更,低,申請中
B0038,2025-02-25,E103,P002,コスト変更,中,却下
B0039,2025-04-28,E106,P001,部品変更,中,申請中
B0040,2025-07-09,E106,P003,コスト変更,低,却下
B0041,2025-03-07,E105,P002,仕様変更,低,申請中
B0042,2025-12-11,E102,P001,コスト変更,低,承認待ち
B0043,2025-01-17,E102,P002,仕様変更,低,申請中
B0044,2025-11-28,E103,P004,仕様変更,低,承認待ち
B0045,2025-10-20,E102,P005,仕様変更,中,承認済
B0046,2025-05-07,E105,P002,図面修正,中,承認待ち
B0047,2025-11-21,E105,P004,図面修正,高,申請中
B0048,2025-08-20,E108,P001,仕様変更,低,承認待ち
B0049,2025-09-09,E103,P003,仕様変更,高,承認済
B0050,2025-05-06,E106,P005,図面修正,低,申請中
B0051,2025-11-27,E108,P003,仕様変更,高,承認済
B0052,2025-02-04,E108,P002,図面修正,中,承認待ち
B0053,2025-12-11,E103,P006,図面修正,低,却下
B0054,2025-05-28,E102,P001,コスト変更,中,申請中
B0055,2025-01-11,E103,P006,図面修正,高,却下
B0056,2025-09-23,E106,P005,仕様変更,高,申請中
B0057,2025-12-05,E108,P001,図面修正,低,承認待ち
B0058,2025-07-05,E102,P003,図面修正,高,承認済
