申請ID,申請日,申請者社員ID,案件コード,変更種別,変更概要,影響度,希望完了日,ステータス,承認者社員ID,承認日,判定
A001,2026-06-01,E103,P001,図面修正,寸法公差の見直し,中,2026-06-15,承認済,E101,2026-06-03,承認
A002,2026-06-02,E106,P006,仕様変更,断熱材の変更,高,2026-06-20,承認済,E104,2026-06-05,承認
A003,2026-06-03,E103,P003,部品変更,ベアリング型番変更,中,2026-06-18,申請中,,,
A004,2026-06-05,E105,P002,コスト変更,配線材コスト削減,低,2026-06-25,承認済,E104,2026-06-08,承認
A005,2026-06-06,E102,P004,図面修正,配管干渉の修正,高,2026-06-16,却下,E101,2026-06-09,却下
A006,2026-06-08,E106,P006,図面修正,ダクト経路変更,中,2026-06-22,承認待ち,E104,,
A007,2026-06-10,E103,P001,仕様変更,搬送速度の変更,高,2026-06-24,申請中,,,
A008,2026-06-11,E105,P002,部品変更,リレー型番変更,低,2026-06-28,承認済,E104,2026-06-14,承認
A009,2026-06-12,E102,P004,コスト変更,材質変更によるコスト増,中,2026-06-30,申請中,,,
A010,2026-06-15,E108,P005,仕様変更,検査項目の追加,中,2026-07-05,承認待ち,E107,,
A011,2026-06-16,E106,P006,部品変更,センサー変更,低,2026-06-29,承認済,E104,2026-06-18,承認
A012,2026-06-18,E103,P003,図面修正,取付穴位置修正,低,2026-07-01,申請中,,,
