実績ID,日付,社員ID,案件コード,作業分類,工数
R001,2026-04-06,E102,P001,設計,6
R002,2026-04-13,E103,P001,検図,4
R003,2026-05-11,E102,P001,設計,8
R004,2026-05-18,E103,P001,修正,3
R005,2026-06-08,E102,P001,設計,7
R006,2026-06-15,E103,P001,打合せ,2
R007,2026-04-07,E105,P002,設計,5
R008,2026-04-20,E105,P002,検図,4
R009,2026-05-12,E105,P002,設計,6
R010,2026-06-09,E105,P002,修正,3
R011,2026-06-22,E105,P002,打合せ,2
R012,2026-05-07,E103,P003,設計,5
R013,2026-05-21,E103,P003,検図,3
R014,2026-06-11,E103,P003,設計,6
R015,2026-06-25,E103,P003,修正,2
R016,2026-05-25,E102,P004,設計,7
R017,2026-06-01,E102,P004,検図,4
R018,2026-06-16,E102,P004,設計,8
R019,2026-06-23,E102,P004,修正,3
R020,2026-06-29,E102,P004,打合せ,2
R021,2026-06-05,E108,P005,設計,5
R022,2026-06-18,E108,P005,検図,3
R023,2026-06-26,E108,P005,設計,6
R024,2026-06-12,E106,P006,設計,6
R025,2026-06-19,E106,P006,検図,4
R026,2026-06-24,E106,P006,設計,7
R027,2026-06-27,E106,P006,修正,3
R028,2026-06-30,E106,P006,打合せ,2
